Key,Institute_name,Branch,Sub_category,State_Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
4212,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,31372,7615,4197,12512,2017
4213,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1007,,,,2017
4214,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,26817,7755,6046,11954,2017
4215,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Information Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,2389,,,,2017
4216,Indian Institute of Information Technology(IIIT) Kottayam,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33239,7946,6535,12630,2017
4217,Indian Institute of Information Technology(IIIT) Kottayam,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,885,,,1149,2017
4218,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,28694,7872,5769,11398,2017
4219,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1233,,,,2017
4220,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,35607,8175,6262,13011,2017
4221,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1082,77,,,2017
4222,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33566,8339,6183,13276,2017
